epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,3368.62,0.52253,0.35608,0.89384,0.99414,0.97182,0.98985,0.89342,0.48064,0.29021,0.90415,0.000378242,0.000378242,0.000378242
97,3404.45,0.53086,0.36339,0.89916,0.98165,0.97921,0.9905,0.89936,0.46291,0.28724,0.891,0.000374707,0.000374707,0.000374707
98,3440.86,0.52417,0.35039,0.89479,0.97447,0.98496,0.98871,0.90523,0.42865,0.27946,0.87046,0.000371173,0.000371173,0.000371173
99,3476.31,0.52371,0.34941,0.89889,0.98209,0.97056,0.98876,0.87015,0.53147,0.28936,0.88922,0.000367639,0.000367639,0.000367639
100,3512.83,0.52676,0.35732,0.89295,0.9863,0.97334,0.98864,0.91078,0.43127,0.26864,0.87857,0.000364104,0.000364104,0.000364104
101,3547.46,0.54269,0.36058,0.90999,0.99361,0.97619,0.99186,0.89337,0.45693,0.25776,0.87549,0.00036057,0.00036057,0.00036057
102,3581.82,0.51209,0.33817,0.88728,0.99233,0.97439,0.988,0.88858,0.45337,0.26483,0.87713,0.000357036,0.000357036,0.000357036
103,3616.12,0.50043,0.34317,0.88267,0.99248,0.97093,0.98782,0.89634,0.47231,0.28348,0.88394,0.000353501,0.000353501,0.000353501
104,3650.43,0.51798,0.36259,0.90465,0.99045,0.97057,0.98768,0.87144,0.51641,0.29467,0.88374,0.000349967,0.000349967,0.000349967
105,3684.75,0.50928,0.3519,0.89001,0.99247,0.96557,0.98459,0.88591,0.48273,0.2823,0.89594,0.000346433,0.000346433,0.000346433
106,3719.24,0.49308,0.33781,0.89979,0.98198,0.97385,0.99127,0.89813,0.4392,0.25412,0.87158,0.000342899,0.000342899,0.000342899
107,3753.68,0.50202,0.34119,0.89504,0.97984,0.98044,0.99095,0.91015,0.40716,0.2566,0.87567,0.000339364,0.000339364,0.000339364
108,3788.3,0.51038,0.35735,0.89703,0.99417,0.95198,0.98834,0.90666,0.4239,0.28415,0.87798,0.00033583,0.00033583,0.00033583
109,3823.58,0.48993,0.34855,0.89244,0.98646,0.95896,0.9913,0.90176,0.44343,0.261,0.87668,0.000332296,0.000332296,0.000332296
110,3859.75,0.48092,0.32522,0.88056,0.98235,0.97635,0.99171,0.90816,0.42123,0.24799,0.87236,0.000328761,0.000328761,0.000328761
111,3894.38,0.48732,0.33443,0.89244,0.99236,0.96658,0.98989,0.90118,0.44263,0.25508,0.87098,0.000325227,0.000325227,0.000325227
112,3929.54,0.48541,0.32693,0.89187,0.99034,0.9669,0.99001,0.89459,0.46843,0.27576,0.89009,0.000321693,0.000321693,0.000321693
113,3965.22,0.48742,0.33992,0.88495,0.99033,0.96931,0.98976,0.91063,0.41351,0.24931,0.89126,0.000318158,0.000318158,0.000318158
114,3999.83,0.48919,0.33784,0.88443,0.98626,0.96449,0.98858,0.88896,0.50016,0.2731,0.89417,0.000314624,0.000314624,0.000314624
115,4034.01,0.49647,0.33661,0.88507,0.98949,0.96917,0.98647,0.89014,0.47735,0.27974,0.89562,0.00031109,0.00031109,0.00031109
116,4068.54,0.49561,0.32798,0.88559,0.98582,0.9708,0.98683,0.89476,0.47649,0.27588,0.89032,0.000307555,0.000307555,0.000307555
117,4103.38,0.48468,0.34418,0.88371,0.99133,0.97073,0.98687,0.89293,0.46398,0.27636,0.87741,0.000304021,0.000304021,0.000304021
118,4139.96,0.482,0.33514,0.88234,0.98962,0.96355,0.9825,0.90872,0.42433,0.26611,0.8844,0.000300487,0.000300487,0.000300487
119,4175.85,0.47184,0.32712,0.88232,0.98081,0.96489,0.98288,0.91591,0.40877,0.26803,0.87088,0.000296953,0.000296953,0.000296953
120,4212.61,0.48171,0.32746,0.89026,0.98759,0.95926,0.98139,0.91318,0.40281,0.26705,0.85442,0.000293418,0.000293418,0.000293418
121,4248.7,0.50064,0.33861,0.88419,0.9688,0.96896,0.98522,0.89969,0.43516,0.28957,0.85609,0.000289884,0.000289884,0.000289884
122,4283.27,0.47694,0.31972,0.88611,0.98768,0.96644,0.98707,0.91147,0.39626,0.25893,0.85857,0.00028635,0.00028635,0.00028635
123,4318.99,0.45504,0.31783,0.88533,0.98586,0.97784,0.98951,0.91062,0.43115,0.24961,0.87931,0.000282815,0.000282815,0.000282815
124,4355.03,0.48162,0.32619,0.8815,0.97974,0.97577,0.98975,0.91419,0.41485,0.29025,0.88456,0.000279281,0.000279281,0.000279281
125,4390.93,0.46805,0.31906,0.8839,0.98784,0.968,0.98945,0.91238,0.424,0.25217,0.87524,0.000275747,0.000275747,0.000275747
126,4426.85,0.46148,0.30923,0.88037,0.98915,0.97004,0.98749,0.92319,0.37896,0.25037,0.86583,0.000272212,0.000272212,0.000272212
127,4462.67,0.47177,0.32801,0.88547,0.98888,0.97978,0.98692,0.90649,0.40973,0.24886,0.87207,0.000268678,0.000268678,0.000268678
128,4497.95,0.45431,0.30887,0.86754,0.9916,0.97658,0.98802,0.91702,0.4134,0.24903,0.88007,0.000265144,0.000265144,0.000265144
129,4533.32,0.46762,0.31233,0.87356,0.98913,0.97512,0.98972,0.93075,0.3768,0.24076,0.87016,0.00026161,0.00026161,0.00026161
130,4568.68,0.45681,0.32088,0.86902,0.98293,0.96958,0.98784,0.92738,0.39538,0.3095,0.87659,0.000258075,0.000258075,0.000258075
131,4603.81,0.44177,0.31475,0.87006,0.99361,0.96983,0.98992,0.91821,0.40662,0.24728,0.86887,0.000254541,0.000254541,0.000254541
132,4639.25,0.47387,0.32247,0.88008,0.99226,0.96996,0.98696,0.923,0.38365,0.23866,0.87827,0.000251007,0.000251007,0.000251007
133,4674.82,0.47027,0.32216,0.88038,0.98658,0.96965,0.98778,0.9243,0.39232,0.24463,0.87987,0.000247472,0.000247472,0.000247472
134,4710.5,0.45999,0.30924,0.87378,0.97898,0.96818,0.98687,0.91816,0.40507,0.2486,0.86328,0.000243938,0.000243938,0.000243938
135,4745.2,0.44472,0.30013,0.87319,0.9837,0.96708,0.98496,0.91866,0.39177,0.24886,0.8678,0.000240404,0.000240404,0.000240404
136,4780.81,0.43263,0.29693,0.86792,0.97788,0.97293,0.98548,0.91023,0.42396,0.25417,0.86675,0.000236869,0.000236869,0.000236869
137,4815.07,0.4552,0.29813,0.87158,0.99262,0.96944,0.98593,0.92433,0.37904,0.24395,0.86947,0.000233335,0.000233335,0.000233335
138,4849.28,0.45546,0.30557,0.87147,0.99161,0.96832,0.98824,0.92254,0.37824,0.24134,0.87511,0.000229801,0.000229801,0.000229801
139,4883.47,0.44118,0.29585,0.86722,0.99235,0.96811,0.98836,0.90687,0.43963,0.2555,0.88147,0.000226267,0.000226267,0.000226267
140,4917.66,0.44602,0.30119,0.87298,0.99182,0.96706,0.9882,0.92366,0.40388,0.25395,0.88781,0.000222732,0.000222732,0.000222732
141,4951.89,0.43833,0.29415,0.87815,0.99339,0.9669,0.98914,0.92578,0.39964,0.24273,0.89198,0.000219198,0.000219198,0.000219198
